Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Invoice Shipping Cost,Estimated Shipping Cost,Flag,Profit,,
A191,11262223142793060,12/1/20,20024768,L,12,A191,46.6,47.56,6.99,30.24,10.33,9.5,1,-0.96,,
A192,11457514403057812,12/1/20,20024771,L,6,A192,34.68,35.95,5.2,21.92,8.83,7.5,1,-1.27,,
A193,11302285363358604,12/1/20,20024774,L,1,A193,30.17,30.83,4.53,19.26,7.04,6.99,1,-0.66,,
A194,11403046776974669,12/1/20,20024772,L,4,A194,53.63,51.13,8.04,27.63,15.46,13.99,1,2.5,,
A195,11164224052309832,12/1/20,20024775,D,1,A195,35.33,33.35,5.3,19.53,8.52,58.52,0,1.98,,
A196,11496929794639410,12/1/20,0903-11-,G,5,A196,1301.3,1278.6,104.1,1172.5,2,9.99,1,22.7,,
A197,11405375534700246,12/1/20,0904-11-,G,1,A197,142.36,155,11.66,120.83,22.51,11.5,1,-12.64,,
A198,11399877578010667,12/1/20,20024781,L,6,A198,22.23,26.15,3.33,9.35,13.47,9.99,1,-3.92,,
A199,11466109626755431,12/1/20,20024780,L,12,A199,40.75,43.73,6.11,24.15,13.47,9.99,1,-2.98,,
A200,11175511821360262,12/1/20,20024782,L,6,A200,51.41,52.1,7.71,32.98,11.41,9.99,1,-0.69,,
A201,11144815189723418,12/1/20,20024783,L,6,A201,41.87,43.16,6.28,26.49,10.39,9.5,1,-1.29,,
A202,11396812518666651,12/1/20,20024784,L,12,A202,53.8,53.95,8.07,36.13,9.75,8.75,1,-0.15,,
A203,11219430291591443,12/1/20,20024791,J,1,A203,54.87,54.77,8.23,38.83,7.71,8.55,1,0.1,,
A204,11284629626617832,12/1/20,20024785,L,12,A204,18.24,18.4,2.74,7.41,8.25,5.75,1,-0.16,,
A205,11316183184687418,12/1/20,20024787,L,6,A205,33.05,34.17,4.96,19.69,9.52,7.99,1,-1.12,,
A206,11246289092705058,12/1/20,20024786,C,1,A206,15.25,14.2,2.29,4.2,7.71,9.07,1,1.05,,
A207,11275401217149823,12/1/20,20024789,L,12,A207,89.64,69.24,13.45,43.38,12.41,9.99,1,20.4,,
A208,11436991984004208,12/1/20,20024788,L,3,A208,44.11,37.19,6.62,30.57,0,7.5,1,6.92,,
A209,11447979893353013,12/1/20,20024793,L,12,A209,66.48,60.99,9.97,38.97,12.05,9.5,1,5.49,,
A210,11397815282197025,12/1/20,20024794,L,1,A210,32.21,31.17,4.83,21.73,4.61,4.75,1,1.04,,
A211,11252069687468209,12/1/20,0905-11-,G,1,A211,778.03,791.42,69.24,696.97,25.21,26.5,1,-13.39,,
A212,11227287669793048,12/1/20,20024792,D,1,A212,35.33,33.35,5.3,19.53,8.52,58.52,0,1.98,,
A213,11131616466019460,12/1/20,20024795,C,1,A213,14.25,13.55,2.14,2.23,9.18,10.17,1,0.7,,
A214,11305981964309833,12/1/20,20024796,L,11,A214,40.39,35.75,6.06,15.87,13.82,9.99,1,4.64,,
A215,11417067197206625,12/1/20,20024798,I,1,A215,20.68,18.93,2.48,13.01,3.44,3.28,0,1.75,,
A216,11435119850712202,12/1/20,20024799,D,1,A216,28.99,29.64,4.42,16.7,8.52,58.52,0,-0.65,,
A217,11167330120317028,12/1/20,20024797,F,6,A217,35.43,21.03,5.31,8.22,7.5,7.5,0,14.4,,
A218,11323895450681023,12/1/20,20024801,J,1,A218,50.13,50.96,7.52,34.95,8.49,8.66,1,-0.83,,
A219,11286237491041000,12/1/20,20024802,L,1,A219,30.92,22.16,4.64,9.44,8.08,6.99,1,8.76,,
A220,11309403911565001,12/1/20,20024827,L,1,A220,20.96,18.72,3.14,11.95,3.63,4.75,1,2.24,,
A221,11160527753473802,12/1/20,20024803,H,2,A221,21.29,20.22,3.19,10.04,6.99,6.99,0,1.07,,
A222,11288783447459430,12/1/20,20024805,L,3,A222,56.97,56.9,8.55,41.31,7.04,6.99,1,0.07,,
A223,11384939277836255,12/1/20,20024806,L,12,A223,34.98,41.67,5.25,20.33,16.09,6.99,1,-6.69,,
A224,11412450037823453,12/1/20,20024809,L,6,A224,36.97,35.77,5.55,17.38,12.84,9.99,1,1.2,,
A225,11261810802406649,12/1/20,1085-11-,G,1,A225,207.11,223.61,16.57,183.63,23.41,8.99,1,-16.5,,
A226,11447261117674613,12/1/20,20024807,J,1,A226,44.42,46.86,6.66,29.54,10.66,8.89,1,-2.44,,
A227,11404809886789818,12/1/20,20024816,J,1,A227,1113.44,1092.65,66.81,1025.84,0,13.8,1,20.79,,
