Sales Sku,Sales Order Number,Sales Order Date,Fulfillment Order Number,Fulfillment Channel Name,Quantity,Sku,Total Sales,Total Cost,Commission,Inventory Cost,Estimated Shipping Cost,Shipping Cost,Flag,Profit,Weight,,
A72,11298632029910612,12/1/20,20024845,L,6,A72,26.78,23.2,4.02,11.86,7.32,7.99,1,3.58,3.33,,
A73,11108216667297804,12/1/20,20024844,L,4,A73,33.79,33.61,5.07,21.05,7.49,6.99,1,0.18,0.58,,
A74,11274684009516237,12/1/20,20024855,L,6,A74,43.32,43.53,6.5,29.99,7.04,6.99,1,-0.21,1.73,,
A75,11249147478827460,12/1/20,20024856,L,1,A75,39.75,42.09,5.96,28.05,8.08,5.75,1,-2.34,0.82,,
A76,11296184456795432,12/1/20,20024857,L,1,A76,16.6,15.21,2.49,9.17,3.55,4.75,1,1.39,0.3,,
A77,11143665114962635,12/1/20,20024859,L,1,A77,26.28,22.6,3.94,15.3,3.36,6.99,1,3.68,0.37,,
A78,11426095697681821,12/1/20,20024858,L,1,A78,26.7,22.55,4.01,15.28,3.26,4.75,1,4.15,0.11,,
A79,11267199524555460,12/1/20,20024860,L,1,A79,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,0.17,,
A80,11154777172518627,12/1/20,20024861,L,12,A80,41.93,41.01,6.29,24.39,10.33,9.5,1,0.92,6.92,,
A81,11435232793202638,12/1/20,20024863,L,12,A81,56.28,56.88,8.44,32.91,15.53,10.99,1,-0.6,14.7,,
A82,11304972710377052,12/1/20,20024864,L,12,A82,23.29,23.7,3.49,11.96,8.25,5.75,1,-0.41,0.98,,
A83,11434635516745036,12/1/20,20024865,L,12,A83,24.85,26.77,3.73,14.21,8.83,6.99,1,-1.92,1.5,,
A84,11153633241077003,12/1/20,20024866,L,1,A84,11.28,10.39,1.69,5.07,3.63,4.75,1,0.89,0.42,,
A85,11364760747972238,12/1/20,20024867,L,6,A85,41.83,43.58,6.27,22.92,14.39,10.99,1,-1.75,15.28,,
A86,11496198339663400,12/1/20,20024868,L,12,A86,42.39,42.59,6.36,21.84,14.39,10.99,1,-0.2,15,,
A87,11371304280945857,12/1/20,20024869,L,5,A87,29.88,31.17,4.48,17.65,9.04,6.99,1,-1.29,1.4,,
A88,11393422391100216,12/1/20,20024870,L,8,A88,44.96,40.31,6.74,20.35,13.22,16.5,1,4.65,34,,
A89,11449665406936206,12/1/20,20024872,L,6,A89,33.19,32.39,4.98,20.37,7.04,6.99,1,0.8,1.88,,
A90,11247123559096248,12/1/20,20024873,L,2,A90,14.77,14.84,2.22,5.04,7.58,5.75,1,-0.07,0.82,,
A91,11337716405451414,12/1/20,20024871,L,12,A91,46.6,47.56,6.99,30.24,10.33,9.5,1,-0.96,4.92,,
A92,11354268632853001,12/1/20,20024874,L,6,A92,55.95,57.45,8.39,39.78,9.28,8.75,1,-1.5,4.1,,
A93,11483254666664235,12/1/20,20024883,L,12,A93,45.4,48.16,6.81,31.89,9.46,7.5,1,-2.76,2.31,,
A94,11196413013145059,12/1/20,20024885,L,12,A94,34.21,35.69,5.13,22.31,8.25,6.99,1,-1.48,1.35,,
A95,11371213390173829,12/1/20,20024879,L,2,A95,39.14,38.94,5.88,24.56,8.5,4.75,1,0.2,2.5,,
A96,11345575716115400,12/1/20,20024880,L,1,A96,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A97,11271059984035428,12/1/20,20024877,L,1,A97,14.75,13.88,2.21,8.08,3.59,4.75,1,0.87,0.13,,
A98,11364929948824233,12/1/20,20024878,L,1,A98,22.46,21.64,3.37,14.8,3.47,4.75,1,0.82,0.26,,
A99,11396296019461024,12/1/20,20024881,L,1,A99,32.19,31,4.83,21.73,4.44,4.75,1,1.19,0.17,,
A100,11225652909373803,12/1/20,20024882,L,1,A100,11.52,9.94,0.92,4.58,4.44,4.75,1,1.58,0.42,,
A101,11441629400438619,12/1/20,20024876,L,12,A101,24.85,25.24,3.73,13.43,8.08,6.99,1,-0.39,1.49,,
A102,11379196517714625,12/1/20,20024884,L,12,A102,24.85,25.24,3.73,13.43,8.08,6.99,1,-0.39,1.49,,
A103,11294548587405007,12/1/20,20024898,L,16,A103,222.44,213.09,33.36,125,54.73,41,1,9.35,84,,
A104,11405951739910613,12/1/20,20024899,L,1,A104,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A105,11449877757985034,12/1/20,20024903,L,1,A105,20.96,18.64,3.14,11.95,3.55,4.75,1,2.32,0.23,,
A106,11447742802196260,12/1/20,20024902,L,12,A106,22.22,26.02,3.33,11.9,10.79,6.99,1,-3.8,0.8,,
A107,11471296744504227,12/1/20,20024904,L,2,A107,36.46,31.92,5.46,22.02,4.44,5.75,1,4.54,0.82,,
A108,11386941337582669,12/1/20,20024905,L,6,A108,21.53,24.15,3.23,9.69,11.23,7.99,1,-2.62,3.45,,
A109,11197714669589824,12/1/20,20024906,L,12,A109,68.84,83.2,10.32,38.42,34.46,13.99,1,-14.36,21.2,,
A110,11365137860037042,12/1/20,20025731,L,12,A110,78.6,281.84,9.43,52.5,219.91,0.833,1,-203.24,138.24,,
A111,11365137860037042,12/1/20,20025731,L,132,A111,864.6,901.14,103.73,577.5,219.91,0.833,1,-36.54,138.24,,
A112,11192525073323436,12/1/20,20024907,L,12,A112,23.29,24.34,3.49,11.96,8.89,5.75,1,-1.05,0.98,,
A113,11277511876955421,12/1/20,20024908,L,2,A113,19.17,19.23,2.3,8.34,8.59,5.75,1,-0.06,0.6,,
A114,11364624861397853,12/1/20,20024912,L,1,A114,19.82,18.71,2.97,12.5,3.24,4.75,1,1.11,0.17,,
A115,11484559551645024,12/1/20,20024909,L,12,A115,39.24,39.85,5.89,24.39,9.57,9.5,1,-0.61,6.92,,
A116,11487939122645855,12/1/20,20024910,L,1,A116,23.02,22.31,3.45,15.28,3.58,4.75,1,0.71,0.13,,
A117,11197849340475435,12/1/20,20024924,L,6,A117,28.15,28.76,4.22,16.29,8.25,6.99,1,-0.61,1.36,,
A118,11194246826399437,12/1/20,20024925,L,6,A118,13.03,16.18,1.95,5.98,8.25,5.75,1,-3.15,0.49,,
A119,11489465128853850,12/1/20,20024926,L,4,A119,33.79,33.61,5.07,21.05,7.49,6.99,1,0.18,0.58,,
A120,11316224882053006,12/1/20,20024928,L,6,A120,65.87,72.34,9.88,48.56,13.9,8.75,1,-6.47,4.8,,
A121,11225147698736253,12/1/20,20024930,L,2,A121,15.64,14.69,2.35,5.3,7.04,5.75,1,0.95,0.68,,
A122,11471572854849834,12/1/20,20024931,L,3,A122,26.58,27.54,3.99,15.3,8.25,6.99,1,-0.96,1.41,,
A123,11147902855476209,12/1/20,20024932,L,3,A123,66.3,55.99,9.96,35.46,10.57,7.99,1,10.31,2.88,,
A124,11189468525997056,12/1/20,20024933,L,12,A124,24.85,25.41,3.73,13.43,8.25,6.99,1,-0.56,1.49,,
A125,11363069072206656,12/1/20,20024938,L,12,A125,28.01,27.41,4.2,15.3,7.91,6.99,1,0.6,1.14,,
A126,11459021756253853,12/1/20,20024934,L,6,A126,42.77,41.93,6.42,27.26,8.25,6.99,1,0.84,1.7,,
A127,11412914036746658,12/1/20,20024940,L,6,A127,34.09,34.69,5.11,11.67,17.91,9.99,1,-0.6,10,,
A128,11368741198745840,12/1/20,20024939,L,1,A128,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,0.17,,
A129,11443997524605023,12/1/20,20024942,L,6,A129,29.07,24.23,4.36,11.86,8.01,7.99,1,4.84,3.33,,
A130,11339743283224201,12/1/20,20024944,L,6,A130,38.13,39.46,5.72,24.42,9.32,8.75,1,-1.33,4.86,,
A131,11251821285461030,12/1/20,20024946,L,18,A131,16.28,16.41,2.44,5.47,8.5,7.5,1,-0.13,2,,
A132,11480655049141040,12/1/20,20024948,L,1,A132,32.19,31.21,4.83,21.73,4.65,4.75,1,0.98,0.17,,
A133,11287881203860247,12/1/20,20024945,L,6,A133,39.21,42.41,5.88,23.77,12.76,9.5,1,-3.2,5.35,,
A134,11297479875069826,12/1/20,20024941,L,12,A134,24.85,24.2,3.73,13.43,7.04,6.99,1,0.65,1.49,,
A135,11464639788510667,12/1/20,20024961,L,8,A135,44.96,42.76,6.74,20.35,15.67,16.5,1,2.2,34,,
A136,11227430144881814,12/1/20,20024951,L,1,A136,50.48,47.68,7.57,35.67,4.44,4.75,1,2.8,0.41,,
A137,11199403292174635,12/1/20,20024954,L,12,A137,44.1,47.28,6.62,28.32,12.34,9.99,1,-3.18,13.32,,
A138,11124618639631414,12/1/20,20024953,L,2,A138,32.62,33.77,4.89,20.38,8.5,6.99,1,-1.15,1.7,,
A139,11304353627597868,12/1/20,20024958,L,3,A139,26.47,27.16,3.97,15.3,7.89,7.5,1,-0.69,1.77,,
